question_text;answer_text;poryadkovyi_numbar
Какими свойствами должны обладать тряпки, предназначенные для влажной уборки?;Абсорбирующими;4
Какие меры предосторожности следует выполнять горничной при использовании моющих химических средств?;Все выше перечисленное;4
Какие требования должна выполнять горничная для обеспечения пожарной безопасности?;Все выше перечисленное;4
Какие действия горничной при обнаружении пожара или признаков горения (задымление, запах гари, повышение температуры и т.п.)?;Необходимо немедленно прекратить работы, покинуть место производства работ, вызвать пожарную охрану по телефону 01 и сообщить о пожаре своему непосредственному руководителю и начальнику смены ДС;3
Кто утверждает и с кем согласовывается график работы горничной?;Утверждает руководитель филиала, согласовывается с первичной профсоюзной организацией;1
Какие приспособления должна использовать горничная для выполнения работ на высоте?;Исправные лестницы и стремянки, оборудованные противоскользящими устройствами;2
Должен ли работник извещать непосредственного руководителя об ухудшении состояния своего здоровья и ситуациях, угрожающих жизни и здоровью людей?;Должен;1
Какие действия необходимо произвести по окончании работы? ;"1) Убрать в отведенное место все инструменты и приспособления, применяемые при выполнении работы
2) Привести в порядок рабочее место 
3) Сообщить руководителю работ об окончании работ и обо всех неполадках, возникших во время работы
4) Снять и убрать спецодежду в предназначенное для хранения место
5) Вымыть руки теплой водой с мылом, при необходимости принять душ
";1
На каком расстоянии должны быть расположены ПЭВМ от приборов отопления?;Не менее 1,5м;1
Какие организационно-технические мероприятия проводятся для уменьшения напряженности электростатического поля при работе с ПЭВМ?;Заземление, антистатическое покрытие пола;1
Какие вредные и опасные производственные факторы могут воздействовать на работника при работе с ПЭВМ?;Пониженный или повышенный уровень освещенности;1
Какие вредные и опасные производственные факторы могут воздействовать на работника при работе с ПЭВМ?;Монотонность труда;2
Какие вредные и опасные производственные факторы могут воздействовать на работника при работе с ПЭВМ?;Повышенный уровень статического электричества;3
Какую группу допуска по электробезопасности должны иметь пользователи ПЭВМ и копировально-множительной техникой?;1 группу ;1
Какие нормы площади установлены на одно рабочее место с использованием ПЭВМ (на базе плоских дискретных экранов (жидкокристаллических, плазменных))?;Не менее 4,5 кв.м;2
Что из перечисленного не допускается во время работы на ПЭВМ и копировально-множительной технике?;Все варианты верны;5
Какие установлены оптимальные параметры микроклимата для работы в помещениях с ПЭВМ?;"Температура воздуха от  +21  до +24 градусов С; относительная влажность 40 - 60%";3
Какие вредные и опасные производственные факторы могут воздействовать на работника при работе с копировально-множительной техникой?;"Поражение электрическим током; повышенное содержание в воздухе рабочей зоны озона, азота оксида, ацетона, эпихлоргидрина в плохо проветриваемых помещения";1
При каких условиях работа на ПЭВМ считается основной работой, если в течение рабочей смены выполняются разные виды трудовой деятельности? ;При выполнении в течение рабочей смены работ, относящихся к разным видам трудовой деятельности, за основную работу на ПЭВМ следует принимать такую, которая занимает не менее 50% времени в течение рабочей смены или рабочего дня;3
Кто отдает команды (распоряжения), которые должны выполнять участники тушения пожара?;Непосредственный руководитель тушения пожара;2
Какие опасные производственные факторы могут воздействовать на участников тушения пожара?;Все вышеперечисленное;5
Какие огнетушители запрещается применять для тушения горящих приборов и оборудования, находящихся под напряжением?;Пенные;1
Как называется процесс организованного самостоятельного движения людей непосредственно наружу или в безопасную зону из помещений, в которых имеется возможность воздействия на людей опасных факторов пожара?;Эвакуация;1
Как называются факторы пожара, воздействие которых может привести к травме, отравлению или гибели человека и (или) к материальному ущербу?;Опасные факторы пожара ;4
Какое действие на организм человека оказывает угарный газ?;Отравляющее;2
Чем опасен угарный газ для организма человека?;Все вышеперечисленное;4
Какие противогазы применяются для защиты органов дыхания при тушении пожаров?;Изолирующие или фильтрующие с коробкой белого цвета марки СО;3
Какое значение предельно допустимой концентрации имеет угарный газ (окись углерода) СО (% об.)? ;0,0016;1
Какие действия являются верными при возникновении признаков отравления угарным газом у участника тушения пожара?;Все вышеперечисленное;5
Что является первоочередным при тушении пожара? ;Создание безопасных условий эвакуации людей;4
Какие действия необходимо произвести при внезапной остановке электроинструмента (исчезновении напряжения в сети, заклинивании движущихся частей и т.п.)?;Необходимо отсоединить электроинструмент от электрической сети штепсельной вилкой;2
Какое напряжение должно применяться для питания светильников в помещениях с повышенной опасностью?;Не выше 42 В;1
В каких случаях электротехнологическому персоналу с группой по электробезопасности II допускается проводить самостоятельный ремонт переносного электроинструмента?;Не допускается;2
Какое напряжение должно применяться при наличии особо неблагоприятных условий для питания ручных светильников?;Не выше 12 В;1
В каких случаях, необходимо отсоединить электроинструмент от электрической сети штепсельной вилкой?;В случаях, указанных в п.п 1-4;5
Где указывается дата последней проверки электроинструмента?;На бирке, размещенной на электроинструменте;2
Допускаются ли практиканты к работе по скашиванию травы газонокосилками, мотокосами, триммерами?;Практиканты к выполнению работ по скашиванию травы не допускаются;2
Необходимо ли проведение инструктажа работнику перед началом работы по скашиванию травы газонокосилками, мотокосами, триммерами?;Проводится целевой инструктаж;2
При каких неблагоприятных погодных условиях не допускается проведение работ по скашиванию травы газонокосилками, мотокосами, триммерами?;При скорости ветра выше 8,5 м/с в горной местности и выше 11 м/с на равнинной местности;1
Какие действия следует предпринять при вращении на холостом ходу режущего инструмента газонокосилки, мотокосы, триммера?;Работу остановить, заглушить газонокосилку и доложить об этом непосредственному руководителю;1
Требования безопасности при заправке газонокосилки, мотокосы, триммера?;Все вышеперечисленные;4
Допускается использование газонокосилок, мотокос, триммеров в закрытых помещениях?;Категорически запрещается;3
Какие средства индивидуальной защиты необходимо применять работнику при скашивании травы газонокосилками, мотокосами, триммерами?;"Костюм хлопчатобумажный от ОПЗ, сапоги кожаные, каска защитная, очки защитные, наушники (беруши), перчатки х/б
";3
Какие меры следует предпринять перед началом работ по скашиванию травы газонокосилками, мотокосами, триммерами?;Все вышеперечисленные меры;4
При каком весе триммеры (мотокосы) должны быть снабжены двойной плечевой подвеской?;При весе более 7,5 кг;1
Что запрещается при работе с газонокосилками, мотокосами, триммерами?;Все вышеперечисленное;5
Какие меры предпринимаются работником при появлении людей или животных в зоне выполнения работ по скашиванию травы газонокосилками, мотокосами, триммерами?;Немедленно прекратить работы;3
Допускается ли использование триммеров (мотокос) без плечевой подвески при скашивании травы?;Допускается при весе инструмента менее 6 кг;3
Какие действия следует предпринять при возникновении неисправностей газонокосилки, мотокосы, триммера?;Работу остановить, заглушить газонокосилку и доложить об этом непосредственному руководителю;1
Какие действия необходимо предпринять работнику по окончании работ по скашиванию травы при помощи газонокосилки, мотокосы, триммера?;Все вышеперечисленные;5
Где должен располагаться работник при скашивании травы на склоне при помощи газонокосилки, мотокосы, триммера?;Должен располагаться ниже места скашивания;2
Как следует производить перемещения с газонокосилками, триммерами, мотокосами?;Следует перемещаться, заглушив двигатель;1
Что относится к медицинскому оборудованию?;Медицинские приборы, аппараты, изделия медицинской техники, оборудование для телемедицины;3
Какой вид излучения может воздействовать на медицинского работника при эксплуатации медицинского оборудования?;Неионизирующее, инфракрасное, ультрафиолетовое;4
На сколько классов подразделяется медицинское оборудование?;На четыре класса (1,01,2,3);4
На какие типы, в зависимости от степени защиты от поражения электрическим током, подразделяется медицинское оборудование?;"Н - с нормальной степенью защиты;
В - с повышенной степенью защиты;
BF - с повышенной степенью защиты и изолированной рабочей частью;
СF - с наивысшей степенью защиты и изолированной рабочей частью
";4
Какой суммарный зазор между электродами и кожей пациента должен соблюдаться  при проведении процедур УВЧ-терапии?;6 см     ;3
В каких помещениях разрешена эксплуатация аппаратов УВЧ-терапии и СВЧ-терапии?;В специально выделенных помещениях или в экранирующих кабинах;1
Какие средства индивидуальной защиты должны использовать медицинский персонал и пациенты при работе ультрафиолетовых облучателей?;Закрытые защитные очки со светофильтрами и боковой защитой;3
Как следует размещать лампы инфракрасного и ультрафиолетового излучения?;На расстоянии, исключающем возможность попадания осколков на тело пациента;2
Какие требования безопасности необходимо соблюдать при эксплуатации ультразвуковых аппаратов?;В помещении ультразвуковой диагностики запрещено размещать электроприборы, которые могут вызвать помехи  при работе  ультразвуковой аппаратуры, запрещается  соприкосновение незащищенных рук персонала со сканирующей поверхностью работающего ультразвукового датчика. Ультразвуковое  диагностическое исследование необходимо проводить  в течение самого короткого периода времени и при установке минимальных значений мощности ультразвука, позволяющих получать качественные изображения, пригодные для постановки диагноза;4
Какие средства индивидуальной защиты должен использовать медицинский работник от воздействия контактного ультразвука?;Хлопчатобумажные перчатки крупной вязки или хлопчатобумажные перчатки с прорезиненной ладонной поверхностью;4
Какой должна быть удельная мощность электрохирургического аппарата?;Не должна превышать 1,5 Вт/см2;2
Какие требования по безопасности предъявляются к медицинскому инструменту?;Все вышеперечисленное;4
В каких медицинских организациях должны проводиться предварительные (при поступлении) и периодические медицинские осмотры?;В медицинских организациях любой организационно-правовой формы, имеющих право на проведение предварительных и периодических медицинских осмотров;1
На кого возлагаются обязанности  по организации предварительных (при поступлении) и периодических медицинских осмотров?;Работодателя;3
С какой целью проводятся обязательные предварительные медицинские осмотры (обследования) при поступлении на работу?;С целью определения  соответствия состояния здоровья лица, поступающего на работу, поручаемой ему работе;1
С какой целью проводятся обязательные периодические медицинские осмотры (обследования)?;Все вышеперечисленное;4
Какие вредные производственные факторы существуют? ;Химические, биологические,  физические, факторы трудового процесса;1
Как оформляются медицинской организацией результаты периодического медосмотра работников? ;По итогам проведения периодических осмотров медицинская организация не позднее чем через 30 дней после завершения проведения периодических осмотров обобщает их результаты и совместно с территориальными органами федерального органа исполнительной власти, уполномоченного на осуществление государственного контроля и надзора в сфере обеспечения санитарно-эпидемиологического благополучия населения, и представителями работодателя, составляет заключительный акт;3
Территория, отнесенная к группе по гражданской обороне - это…;Территория, на которой расположен город или иной населенный пункт, имеющий важное оборонное и экономическое значение, с находящимися в нем объектами, представляющий высокую степень опасности возникновения чрезвычайных ситуаций в военное и мирное время.;1
Что является целями административно-производственного контроля в соответствии с требованиями СТО АПК 00154223-40-2021?;Обеспечение надежной и безаварийной работы эксплуатируемого оборудования,  здоровых и безопасных условий труда работников.;1
Что является целями административно-производственного контроля в соответствии с требованиями СТО АПК 00154223-40-2021?;Предотвращение и предупреждение возможных происшествий, получение информации и оценки результативности деятельности по управлению рисками в области производственной безопасности для предупреждения возникновения происшествий.;3
Что является целями административно-производственного контроля в соответствии с требованиями СТО АПК 00154223-40-2021?;Вовлечение работников всех уровней (руководителей, специалистов, рабочих) для решения производственных задач, качественной оценки результативности корректирующих действий по результатам проверок, участия в улучшении деятельности Общества (филиала) в области производственной и экологической безопасности.;4
Что является задачами административно-производственного контроля в соответствии с требованиями СТО АПК 00154223-40-2021?;Контроль за соблюдением требований, установленных действующим законодательством и иными нормативными правовыми документами, соблюдение которых обеспечивает производственную и экологическую безопасность, а также санитарно-эпидемиологическое благополучие населения.;1
Что является задачами административно-производственного контроля в соответствии с требованиями СТО АПК 00154223-40-2021?;Контроль за своевременным устранением нарушений требований производственной и экологической безопасности, а также санитарноэпидемиологических требований.;2
Что является задачами административно-производственного контроля в соответствии с требованиями СТО АПК 00154223-40-2021?;Анализ состояния производственной безопасности, разработка, внедрение и поддержание в рабочем состоянии процедур идентификации опасностей, оценки риска и управления рисками.;3
"Сколько уровней административно-производственного контроля организуется в ООО ""Газпром трансгаз Югорск""? ";4;2
"Проводится ли работниками АПК на I и II уровнях в филиалах Общества, а также в их структурных подразделениях, осуществляющих исключительно административно – управленческую (офисную работу)?
";Да. Информация о неисправностях оперативно сообщается в подразделение, ответственное за содержание здания, помещения, оборудования, устройств, персонал которого осуществляет АПК на I и II уровне данных объектов.;3
"Какими документами определяются обязанности и права работника, ответственного за осуществление
производственного контроля при эксплуатации опасных производственных объектов?";«Положением о производственном контроле за соблюдением требований промышленной безопасности при эксплуатации опасных производственных объектов», утверждаемом в Обществе.;1
"Какими документами определяются обязанности и права работника, ответственного за осуществление
производственного контроля при эксплуатации опасных производственных объектов?";Должностной инструкцей.;2
"Какими документами определяются обязанности и права работника, ответственного за осуществление
производственного контроля при эксплуатации опасных производственных объектов?";Трудовым договором.;3
"Какими документами осуществляется закрепление объектов, оборудования и территорий, входящих в
состав рабочего места для проведения АПК?";Должностными (производственными) инструкциями.;1
"Какими документами осуществляется закрепление объектов, оборудования и территорий, входящих в
состав рабочего места для проведения АПК?";Организационно-распорядительными документами.;2
Каким образом подтверждается результативность осуществления АПК на 1 уровне?;Отсутствием на закрепленных объектах, оборудовании и территории неучтенных замечаний, нарушений и несоответствий требованиям производственной безопасности, которые персонал объекта может устранить собственными силами.;1
В какой период времени рабочего дня (смены) осуществляется АПК на I уровне? ;В течение рабочего дня (смены).;3
В каком журнале регистрируются несоотвестствия, которые возможно устранить силами подчиненного персонала, но времени на устранение требуется более одного рабочего дня (смены)? ;При наличии в подразделении необходимых ресурсов регистрируются руководителем работ, сдающим смену, в «Журнале дефектов основного и вспомогательного оборудования» новой записью, при этом докладывается руководителю подразделения.;2
"Какие несоответствия регистрируются в ""Журнале АПК""? ";Если несоответствие невозможно устранить силами подчиненного персонала (требуется разработка долгосрочных мероприятий, привлечение дополнительных ресурсов, остановка оборудования и т.п.) и оно относится к области ответственности службы (цеха, участка).;3
Каким персоналом осуществляется АПК на I уровне на удалённых объектах (ДЛО, ГРС, ЛЧМГ и др.)?;Руководителем работ, на которого возложены обязанности по обеспечению работоспособности удаленных объектов, в соответствии с установленной в филиале периодичностью выезда на эти объекты.;1
Каким персоналом осуществляется АПК на I уровне на удалённых объектах (ДЛО, ГРС, ЛЧМГ и др.)?;Дежурным персоналом ежедневно в течение всего рабочего дня (смены);3
Кем может быть изменен порядок организации АПК на удалённых объектах (с учетом транспортной доступности удаленных объектов)?   ;Главным инженером филиала.;1
В каких случаях работы по устранению несоответствий и дефектов, указанных в «Ведомости дефектов и несоответствий» считаются выполненными?;"После того, как руководитель подразделения обслуживаемого филиала лично убедится в
качестве их устранения и сделает отметку об этом в «Журнале АПК».";1
В каких случаях работы по устранению несоответствий и дефектов, указанных в «Ведомости дефектов и несоответствий» считаются выполненными?;"После того, как руководитель подразделения обслуживаемого филиала лично убедится в
качестве их устранения и сделает отметку об этом в акте выполненных работ.";2
Кем осуществляется АПК на II уровне?  ;"Руководителем структурного подразделения филиала с привлечением, при необходимости, своих
заместителей, руководителей работ и работников, уполномоченных по охране труда от цеховой профсоюзной организации.";1
Каковы действия руководителя подразделения при выявлении в процессе АПК на II уровне фактов неудовлетворительного осуществления АПК на I уровне, в том числе повторяющихся или не устранённых в установленные сроки несоответствий требованиям производственной безопасности?;Запросить письменное объяснение с ответственного руководителя работ, допустившего эти факты.;1
Каковы действия руководителя подразделения при выявлении в процессе АПК на II уровне фактов неудовлетворительного осуществления АПК на I уровне, в том числе повторяющихся или не устранённых в установленные сроки несоответствий требованиям производственной безопасности?;Принять меры в соответствии с «Программой мотивации персонала ООО «Газпром трансгаз Югорск» к повышению уровня ответственности в области охраны труда, промышленной безопасности и стимулирования работников на безопасный труд со стороны руководителей структурных подразделений филиалов и администрации Общества». ;2
Каковы действия руководителя подразделения при выявлении в процессе АПК на II уровне фактов неудовлетворительного осуществления АПК на I уровне, в том числе повторяющихся или не устранённых в установленные сроки несоответствий требованиям производственной безопасности?;Принять меры в соответствии с ТК РФ в случае выявления грубых нарушений требований производственной безопасности. ;3
Какова периодичность проведения проверок на II уровне АПК?;Не реже 1 раза в 10 дней.;3
Что должно проводиться в ходе осуществления АПК на II и III уровнях? ;"Поведенческий аудит безопасности.
";1
Какой документ составляется до начала проверки каждым членом ПДК для повышения результативности АПК на III уровне?;Проверочный лист с перечнем критериев по каждому проверяемому направлению и объекту.;2
Какие документы формируются по результатам комплексной проверки состояния производственной безопасности на III уровне АПК?;Верные ответы 1 и 2.;5
"В соответствии с каким документом осуществляется АПК на III уровне объектов или территорий, которые по
документам, разграничивающим зоны обслуживания или ремонта, переданы обслуживающим или ремонтным филиалам (организациям)?";С Графиком АПК III уровня, разработанным эксплуатирующим филиалом.;3
Какие виды проверок и аудитов включаются в «План - график проведения проверок состояния производственной безопасности на объектах ООО «Газпром трансгаз Югорск»?;"АПК на 4 уровне (в т.ч. ПА - поведенческий аудит), 
ВА - внутренний аудит интегрированной системы менеджмента (в т.ч. ПА - поведенческий аудит).";1
Какие виды проверок и аудитов включаются в «План - график проведения проверок состояния производственной безопасности на объектах ООО «Газпром трансгаз Югорск»?;ПГкОЗЭ - проверка готовности филиалов к эксплуатации в осеннезимний период, КП – комплексная проверка.;2
Какие виды проверок и аудитов включаются в «План - график проведения проверок состояния производственной безопасности на объектах ООО «Газпром трансгаз Югорск»?;ЦП - целевая проверка выполнения требований промышленной безопасности на ОПО, ТПА - целевая проверка выполнения филиалами ДТОиР ТПА.;3
Каким документом необходимо руководствоваться работникам, деятельность которых не связана с пребыванием на производственных объектах (офисным работникам), при выявлении несоответствий требованиям безопасности на рабочих местах?;«Планом действий на случай возникновения сбойных ситуаций».;2
Кем проводятся целевые и внеплановые проверки АПК на III и IV уровнях?;"Как ПДК, так и отдельными работниками из состава ПДК на III и IV уровнях на основании
распорядительного документа филиала или Общества соответственно.";1
С какой целью проводятся внутренние аудиты ЕСУПБ в филиалах или структурных подразделениях, в которых по результатам проверки на III и IV уровнях АПК выявлены отклонения от требований ЕСУПБ?;Определения причин отклонений от установленных требований системы управления производственной безопасностью и подразделений осуществляющих свою деятельность с этими отклонениями.;1
С какой целью проводятся внутренние аудиты ЕСУПБ в филиалах или структурных подразделениях, в которых по результатам проверки на III и IV уровнях АПК выявлены отклонения от требований ЕСУПБ?;Определения областей деятельности филиала или структурного подразделения, в которых требуется улучшение ЕСУПБ.;2
С какой целью проводятся внутренние аудиты ЕСУПБ в филиалах или структурных подразделениях, в которых по результатам проверки на III и IV уровнях АПК выявлены отклонения от требований ЕСУПБ?;Распространения положительного опыта в области производственной безопасности.;3
Каким образом выполняется реализация письменной обратной связи по вопросам производственной безопасности?;Посредством заполнения бланка обратной связи по вопросам производственной безопасности.;3
На кого возлагается ответственность в соответствии с требованиями СТО АПК 00154223-40 за сбор, первоначальную оценку бланков обратной связи, передачу их руководству филиала (Общества), заместителю главного инженера по ОТПиПБ, в отдел охраны труда Общества, руководителю (специалисту) по ОТ филиала или руководителю подразделения структурного подразделения филиала Общества?;На уполномоченных лиц по охране труда от цеховой профсоюзной организации соответствующего структурного подразделения филиала Общества.;3
"В какой срок, со дня получения требования об устранении выявленных нарушений, работодатель обязан сообщить в соответствующий профсоюзный орган, о результатах рассмотрения данного требования и принятых мерах? (ст. 370)

";В недельный срок.;1
Имеют ли право уполномоченные по охране труда предъявлять работодателям требования о приостановке работ в случаях непосредственной угрозы жизни и здоровью работников? (ст. 370);Да, имеют.;1
"Какими правами наделены уполномоченные по охране труда профессиональных союзов? (ст. 370)
";Осуществлять контроль за соблюдением работодателями трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права.;1
"Какими правами наделены уполномоченные по охране труда профессиональных союзов? (ст. 370)
";Осуществлять проверку состояния условий и охраны труда, выполнения обязательств работодателей, предусмотренных коллективными договорами и соглашениями.;2
